rec,jurusan,matakuliah_id,matakuliah
1,1,DI1741,Desain Interior 2
2,1,DI1742,Produk Interior 1
3,1,DI1743,Komunikasi Desain Interior 2
4,1,DI1744,Ergonomi 2
5,1,DI1745,Sustainable Desain
6,1,DI1746,Utilitas Interior
7,1,DI1761,Desain Interior 4
8,1,DI1762,Produk Interior 3
9,1,DI1763,Komunikasi Desain Interior 4
10,1,DI1764,Tinjauan Desain Interior
11,1,DI1765,Manajemen Desain
12,1,PL1765,Gubahan Ruang Interior
13,2,DKV1741,DKV2 - Identitas Visual
14,2,DKV1742,Tinjauan & Sejarah DKV
15,2,DKV1743,Tipografi Lanjut
16,2,DKV1744,Ilustrasi Lanjut
17,2,DKV1745,Komputer Grafis
18,2,DKV1746,Proses Komunikasi
19,2,DKV1761,DKV4 - Social Campaign
20,2,DKV1762,Grafis Sekuensial
21,2,DKV1763,Infografis
22,2,DKV1764,Audio Visual
23,2,PL1763,Visual Interface Desain
24,3,FC1741,DKF2 - Basic Fashion(Local Wisdom)
25,3,FC1742,Pola Busana 1 
26,3,FC1743,Tinjauan Desain Fashion
27,3,FC1744,Proses Komunikasi
28,3,FC1745,Fashion Writing 2
29,3,FC1746,Tinjauan Pakaian & Kain Tradisional
30,3,FC1761,DKF 4 - Adibusana/Future Fashion
31,3,FC1762,Pola Busana 3
32,3,FC1763,Visual Merchandising Fashion
33,3,FC1764,Trend & Fashion Forecast
34,3,FC1765,Fashion Styling & Photography
35,3,PL1764,Fashion Entrepreneur
36,4,TPB1721,Gambar Bentuk
37,4,TPB1722,Nirmana Dwimatra 2
38,4,TPB1723,Nirmana Trimatra 2
39,4,TPB1724,Komputer Dasar
40,4,TPB1725,Fotografi Dasar
41,4,KU1721,Bahasa Inggris
42,4,KU1722,Pendidikan Kewarganegaraan
43,5,KU1741,Studi Budaya Indonesia 2
